,Unnamed: 0,placekey,safegraph_place_id,parent_placekey,parent_safegraph_place_id,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags,opened_on,closed_on,tracking_opened_since,tracking_closed_since
3068,3069,22j-222@63s-whh-8vz,sg:bd366bbf71c44539b48bcecd4674b4ff,,,Christ Community Church Of Hagerstown,,,Religious Organizations,Religious Organizations,813110.0,39.624193,-77.729964,1016 Spruce St,Hagerstown,MD,21740,US,,,,,,,2019-07
4604,4607,zzw-222@63s-wsd-d7q,sg:2565ae55f34940dfad346410c865e7cf,,,Smokey Valley BBQ,,,Restaurants and Other Eating Places,Limited-Service Restaurants,722513.0,39.650412,-77.788044,16817 National Pike,Hagerstown,MD,21740,US,12403828551.0,,"Sandwich Shop,BBQ and Southern Food,Truck or Cart",,,,2019-07
4655,4658,225-222@63s-whh-789,sg:2988d01d083e47018e029e0e0d8128e2,,,Accurate Transmissions,,,Automotive Repair and Maintenance,Automotive Transmission Repair,811113.0,39.619768,-77.72823199999999,18 4th St,Hagerstown,MD,21740,US,12406259166.0,,,,2020-01,,2019-07
6544,6548,zzz-222@63s-wh5-k75,sg:a0db96e4ca6e47d19820a57160dc4fe7,,,Hamilton Playground,,,Other Amusement and Recreation Industries,All Other Amusement and Recreation Industries,713990.0,39.666642,-77.72574200000001,Carroll Heights Boulevard,Hagerstown,MD,21742,US,,,,,,,2019-07
6878,6883,222-222@63s-wh2-5zz,sg:b5ed726efa6348cb8fd3b0fda56f51ce,,,Tfs,,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940.0,39.665707,-77.708893,562 Northern Ave,Hagerstown,MD,21742,US,13017335010.0,,,,2020-07,,2019-07
9176,9182,224-222@63s-ws3-cdv,sg:4606724bb8994396bca65a0cc369ffb1,22d-22j@63s-ws5-45f,sg:8d25d3093e2647e4b11e3ce3a8b85844,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515.0,39.6267,-77.769261,17326 Valley Mall Rd,Halfway,MD,21740,US,13015826175.0,"{ ""Mon"": [[""4:30"", ""22:00""]], ""Tue"": [[""4:30"", ""22:00""]], ""Wed"": [[""4:30"", ""22:00""]], ""Thu"": [[""4:30"", ""22:30""]], ""Fri"": [[""5:00"", ""22:30""]], ""Sat"": [[""5:00"", ""22:00""]], ""Sun"": [[""4:30"", ""22:00""]] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery",,,2021-03,2019-07
10144,10152,223-222@63s-whq-yd9,sg:81a61534a1524d9d82f3f23165491fb2,,,Brook Meadow Provision,,,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110.0,39.646206,-77.702575,716 Security Rd,Hagerstown,MD,21740,US,13017393107.0,,,,2020-01,,2019-07
12177,12188,222-222@63s-whf-3nq,sg:04a64aef2b9541a19c771d494f77f120,zzw-224@63s-whf-6tv,sg:ce3ba4a5cbd24a0d9d98c9b85d476425,Metitus Health Urgent Care Center,,,Outpatient Care Centers,Freestanding Ambulatory Surgical and Emergency Centers,621493.0,39.622981,-77.684608,11110 Medical Campus Rd Ste 147,Robinwood,MD,21742,US,12403139600.0,,,,,,2019-07
16491,16506,zzw-223@63s-v53-hkf,sg:151d034079a9404e93784a2cffe02064,222-222@63s-v53-fvf,sg:28d9fc1096404b5081456b38f8d50cf0,Cape Air Charter,,,Other Transit and Ground Passenger Transportation,All Other Transit and Ground Passenger Transportation,485999.0,39.705374,-77.730994,18434 Showalter Rd,Hagerstown,MD,21742,US,,,,,,,2019-07
17333,17348,225-222@63s-wgy-8y9,sg:49d4c74bbefc4451a3b5daf2b7f59db7,,,Hub City Cycles,,,"Sporting Goods, Hobby, and Musical Instrument Stores",Sporting Goods Stores,451110.0,39.675274,-77.720248,13148 Pennsylvania Ave,Fountainhead-Orchard Hills,MD,21742,US,13017979877.0,"{ ""Mon"": [[""10:00"", ""18:00""]], ""Tue"": [[""10:00"", ""18:00""]], ""Wed"": [], ""Thu"": [[""10:00"", ""18:00""]], ""Fri"": [[""10:00"", ""18:00""]], ""Sat"": [[""9:00"", ""15:00""]], ""Sun"": [] }",,,,,2019-07
22309,22331,22d-224@63s-ws5-45f,sg:8ab8b7a8ed52475a9fdc0862816a7d21,22d-22j@63s-ws5-45f,sg:8d25d3093e2647e4b11e3ce3a8b85844,Black Rock Bar & Grill,SG_BRAND_0099532bd1ea3058,Black Rock Bar & Grill,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,39.625306,-77.769277,17301 Valley Mall Rd,Halfway,MD,21740,US,12408503365.0,,,,,2021-04,2019-07
22558,22580,zzw-222@63s-whq-psq,sg:99bca1b89ebf4dbd8e32e28cab3446f7,,,Fundamental Health,SG_BRAND_384b815a52b0284a,Fundamental Health,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111.0,39.633854,-77.718374,333 Mill St,Hagerstown,MD,21740,US,,,,,,,
23766,23793,225-222@63s-whq-f4v,sg:e6e95b2a0794482c88ab0cea68667733,,,Blue Gray Towing,,,Support Activities for Road Transportation,Motor Vehicle Towing,488410.0,39.636128,-77.71284,351 E Antietam St,Hagerstown,MD,21740,US,,"{ ""Mon"": [[""8:30"", ""21:00""]], ""Tue"": [[""8:30"", ""21:00""]], ""Wed"": [[""8:30"", ""21:00""]], ""Thu"": [[""8:30"", ""21:00""]], ""Fri"": [[""8:30"", ""21:00""]], ""Sat"": [[""10:00"", ""18:00""]], ""Sun"": [[""8:00"", ""20:00""]] }",,,,,2019-07
23799,23826,224-222@63s-whq-kzz,sg:e9c28c7347374ef5a4be73337cb20829,,,John Wesley United Methodist Church,,,Religious Organizations,Religious Organizations,813110.0,39.644077,-77.71901,129 N Potomac St,Hagerstown,MD,21740,US,,,,,,,2019-07
23935,23962,zzw-224@63s-whq-6c5,sg:f355ba5f78c2423aa46f051956bc5c88,,,Rehabilitation Practitioners,,,Health and Personal Care Stores,All Other Health and Personal Care Stores,446199.0,39.637874,-77.713937,324 E Antietam St Ste 300,Hagerstown,MD,21740,US,13017395060.0,"{ ""Mon"": [], ""Tue"": [], ""Wed"": [[""8:30"", ""16:30""]], ""Thu"": [[""8:30"", ""16:30""]], ""Fri"": [], ""Sat"": [], ""Sun"": [] }",,,,,2019-07
24649,24676,zzw-227@63s-whf-6tv,sg:212cd94deaa649ca850fc605a1cbb031,zzw-222@63s-whf-6tv,sg:317be753dd26443cb972eccce15f74b6,Robinwood Diagnostic Imaging Services LLC,,,Medical and Diagnostic Laboratories,Diagnostic Imaging Centers,621512.0,39.620989,-77.683093,11110 Medical Campus Rd Ste 204,Robinwood,MD,21742,US,,,,,,,2019-07
25847,25875,226-222@63s-whh-nnq,sg:6c618ba690154a9abcc00e75db0eeff2,,,The Big Dipper,,,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515.0,39.627549,-77.738416,1033 Virginia Ave,Hagerstown,MD,21740,US,13017975422.0,"{ ""Mon"": [[""15:00"", ""22:00""]], ""Tue"": [[""15:00"", ""22:00""]], ""Wed"": [[""15:00"", ""22:00""]], ""Thu"": [[""15:00"", ""22:00""]], ""Fri"": [[""12:00"", ""22:00""]], ""Sat"": [[""12:00"", ""22:00""]], ""Sun"": [[""12:00"", ""22:00""]] }",Ice Cream Shop,,,,2019-07
26496,26526,224-222@63s-ws8-f4v,sg:978e3a8d0bf642b0b8397abf91f52874,22d-22j@63s-ws5-45f,sg:8d25d3093e2647e4b11e3ce3a8b85844,Valley Wine & Spirits,,,"Beer, Wine, and Liquor Stores","Beer, Wine, and Liquor Stores",445310.0,39.626515000000005,-77.77239,17304 Valley Mall Rd,Halfway,MD,21740,US,13015824444.0,,,,,,2019-07
26560,26590,222-222@63s-wh3-p9z,sg:9b40c10c87e24fc0bf34a804cf8b2dcb,,,Unitarian Universalist Church,,,Religious Organizations,Religious Organizations,813110.0,39.677766,-77.754705,13245 Cearfoss Pike,Hagerstown,MD,21740,US,13017975533.0,,,,,,2019-07
28496,28527,22w-222@63s-whq-5j9,sg:135b123b304843bd9c312b369ec38c86,,,Trinity Bible Chruch Of Hagerstown Md,,,Religious Organizations,Religious Organizations,813110.0,39.639583,-77.718622,100 E Antietam St,Hagerstown,MD,21740,US,,,,,,,2019-07
30237,30271,22c-223@63s-wh2-xkf,sg:7eaf65b345644d6182131298c2803098,,,Aqua 103,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,39.668503,-77.699085,12916 Conamar Dr Ste 103,Hagerstown,MD,21742,US,13013935757.0,,"Steak House,American Food,Seafood",,2020-01,,2019-07
33245,33284,222-222@63s-wsb-tn5,sg:3860ac3e7aa145cebb0e7560acbe1812,,,Fastenal,SG_BRAND_50660a822ab2e47648b72750d4256f7b,Fastenal,Building Material and Supplies Dealers,Hardware Stores,444130.0,39.633882,-77.73808299999999,1120 Business Center Dr,Hagerstown,MD,21740,US,13017910445.0,,,,,,2019-07
34223,34262,zzy-222@63s-whh-z75,sg:75bf8bce2ea242b88f98c234f0af51dd,zzz-222@63s-whh-yy9,sg:a74f948f7d5745f98590cd48383e5d33,Potterfield Pool,,,Miscellaneous Durable Goods Merchant Wholesalers,Sporting and Recreational Goods and Supplies Merchant Wholesalers,423910.0,39.627393,-77.714675,730 Frederick St,Hagerstown,MD,21740,US,13017332599.0,,,,,,2019-07
36924,36964,222-223@63s-ws9-bc5,sg:20fa4c0223474c9886d6135319c70217,,,VEIP Emissions Testing Station,,,Automotive Repair and Maintenance,Automotive Oil Change and Lubrication Shops,811191.0,39.646505,-77.759041,12100 Insurance Way,Hagerstown,MD,21740,US,,,,,,,2019-07
37455,37495,22c-222@63s-whq-jd9,sg:41de99e853a1466f91a085925b3306a3,,,Hagerstown Area Pregnancy Center,,,Offices of Other Health Practitioners,Offices of Mental Health Practitioners (except Physicians),621330.0,39.639796,-77.725882,109 W Baltimore St,Hagerstown,MD,21740,US,13017398717.0,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""13:00""]], ""Sat"": [], ""Sun"": [] }",,,,,2019-07
39559,39602,225-222@63s-whn-mc5,sg:c6a452da1cd243c8b9b044322b76c957,,,5 Star Home Improvements,,,Building Finishing Contractors,Other Building Finishing Contractors,238390.0,39.625797,-77.668132,11343 Robinwood Dr,Robinwood,MD,21742,US,13017477390.0,,,,,,2019-07
45032,45080,zzw-226@63s-whd-99f,sg:26a0629e64f445ca8b7d25228b70146e,,,Chiropractic Pain & Rehab Center,,,Offices of Other Health Practitioners,Offices of Chiropractors,621310.0,39.626661,-77.700907,1185 Mount Aetna Rd,Hagerstown,MD,21740,US,13017390790.0,,,,,,2019-07
48039,48090,222-222@63s-ws9-bc5,sg:e8aa64c679fa4a30a343fb9a9737d10a,,,Hagerstown DMV,,,Administration of Economic Programs,Regulation and Administration of Transportation Programs,926120.0,39.646505,-77.759058,12100 Insurance Way,Hagerstown,MD,21740,US,,,,,,,2019-07
48213,48264,227-222@63s-wgz-c5z,sg:f3f28257f4b54a77896939cee831161a,zzw-222@63s-wgz-cbk,sg:6ba0db72cca74fa7839c62eb8f0cddb9,Bodyworks Massage Center and Gift & Wellness Shop,,,"Office Supplies, Stationery, and Gift Stores","Gift, Novelty, and Souvenir Stores",453220.0,39.683126,-77.717772,18745 North Pointe Dr Ste 100,Fountainhead-Orchard Hills,MD,21742,US,13017456490.0,"{ ""Mon"": [[""8:00"", ""19:00""]], ""Tue"": [[""8:00"", ""19:00""]], ""Wed"": [[""8:00"", ""19:00""]], ""Thu"": [[""8:00"", ""19:00""]], ""Fri"": [[""8:00"", ""19:00""]], ""Sat"": [[""8:00"", ""16:00""]], ""Sun"": [] }",,,,,2019-07
49165,49216,22q-222@63s-whq-k4v,sg:2dace31b46784da6871d9f8a73a5b0db,,,Comp Xp,,,Electronics and Appliance Stores,Electronics Stores,443142.0,39.644507,-77.7213,64 W Franklin St,Hagerstown,MD,21740,US,13017664521.0,,,,,,2019-07
51831,51884,224-222@63s-wsc-n3q,sg:d84dc7358ff74ce6b9697cd1c2386214,,,Fisher Structures,,,Miscellaneous Durable Goods Merchant Wholesalers,Sporting and Recreational Goods and Supplies Merchant Wholesalers,423910.0,39.639407,-77.73487,500 S Burhans Blvd,Hagerstown,MD,21740,US,13017337433.0,"{ ""Mon"": [[""10:00"", ""17:00""]], ""Tue"": [[""10:00"", ""17:00""]], ""Wed"": [[""8:00"", ""17:00""]], ""Thu"": [[""10:00"", ""17:00""]], ""Fri"": [[""10:00"", ""17:00""]], ""Sat"": [[""10:00"", ""17:00""]], ""Sun"": [] }",,,,,2019-07
54097,54152,zzw-222@63s-wh2-gtv,sg:6b662b7f58af42e7bb46d095bb84fa39,,,Wasabi,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,39.665271,-77.697673,12813 Shank Farm Way,Hagerstown,MD,21742,US,13017398888.0,"{ ""Mon"": [[""10:30"", ""21:30""]], ""Tue"": [[""10:30"", ""21:30""]], ""Wed"": [[""10:30"", ""21:30""]], ""Thu"": [[""10:30"", ""21:30""]], ""Fri"": [[""10:30"", ""22:30""]], ""Sat"": [[""10:30"", ""22:30""]], ""Sun"": [[""11:30"", ""21:00""]] }","Japanese Food,Sushi",,,,2019-07
57664,57722,222-223@63s-ws4-nbk,sg:4c436c12b18f4eb2ae0e6200820b4ce1,,,Darrell Enterprises Moving Services,,,Specialized Freight Trucking,Used Household and Office Goods Moving,484210.0,39.620052,-77.757948,17609 Virginia Ave,Halfway,MD,21740,US,12402178959.0,"{ ""Mon"": [[""6:00"", ""23:00""]], ""Tue"": [[""6:00"", ""23:00""]], ""Wed"": [[""6:00"", ""23:00""]], ""Thu"": [[""6:00"", ""23:00""]], ""Fri"": [[""6:00"", ""23:00""]], ""Sat"": [[""6:00"", ""23:00""]], ""Sun"": [[""6:00"", ""23:00""]] }",,,,,2019-07
63329,63395,zzw-222@63s-w38-kxq,sg:b8508530804a4e408a5cd65af6b0fdd0,zzw-223@63s-w38-mc5,sg:7ffbc1f244234090bd748db4d166570e,Kate Spade,SG_BRAND_f50d476b34b7991f27edf2bd743e0268,Kate Spade,Clothing Stores,Family Clothing Stores,448140.0,39.608728,-77.734087,700 Premium Outlets Blvd,Hagerstown,MD,21740,US,13017141620.0,"{ ""Mon"": [[""10:00"", ""21:00""]], ""Tue"": [[""10:00"", ""21:00""]], ""Wed"": [[""10:00"", ""21:00""]], ""Thu"": [[""10:00"", ""21:00""]], ""Fri"": [[""10:00"", ""21:00""]], ""Sat"": [[""10:00"", ""21:00""]], ""Sun"": [[""10:00"", ""19:00""]] }",,,,2020-12,2019-07
69070,69143,222-222@63s-w37-x3q,sg:2dcfccf541444405a60c6b225e18dc29,,,Oishi Sushi & Hibachi,,,Restaurants and Other Eating Places,Limited-Service Restaurants,722513.0,39.601677,-77.733864,18330 Spark Dr,Hagerstown,MD,21740,US,12402672222.0,"{ ""Mon"": [[""10:30"", ""21:00""]], ""Tue"": [[""10:30"", ""21:00""]], ""Wed"": [[""10:30"", ""20:30""]], ""Thu"": [[""10:30"", ""21:00""]], ""Fri"": [[""10:30"", ""22:00""]], ""Sat"": [[""10:30"", ""22:00""]], ""Sun"": [[""11:30"", ""21:00""]] }","Japanese Food,Sushi",,,,2019-07
69724,69799,228-222@63s-wgy-w6k,sg:584c1438c6f7436987770c8eccb95448,,,Healthway Natural,,,Health and Personal Care Stores,Food (Health) Supplement Stores,446191.0,39.671971,-77.719934,13026 Pennsylvania Ave,Fountainhead-Orchard Hills,MD,21742,US,13017391462.0,,,,2020-01,,2019-07
72835,72911,zzw-225@63s-ws8-ffz,sg:2561364d64f04fdabd965557e0c0d818,,,Virginia Barbeque,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,39.623473,-77.771744,17301 Valley Mall Rd,Halfway,MD,21740,US,13015823287.0,,BBQ and Southern Food,,2020-01,,2019-07
73025,73101,zzw-222@63s-whf-ch5,sg:30e4b84009e543acb8a162ab9b34281d,,,Diagnostic Imaging Services,,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111.0,39.635408,-77.69654200000001,1101 Opal Ct Ste 9,Hagerstown,MD,21740,US,12403139700.0,,,,,,2019-07
73250,73326,zzw-222@63s-ws9-xnq,sg:3f04f02b37cf488ba8869276efea6eeb,,,Evangel Baptist Church,,,Religious Organizations,Religious Organizations,813110.0,39.664044,-77.747452,17922 Broadfording Rd,Hagerstown,MD,21740,US,13017336711.0,,,,,,2019-07
74218,74294,225-222@63s-wh2-tvz,sg:7b87ef0b2d1e4852aa7861d15a54d8c6,zzw-222@63s-wgz-tvz,sg:b50f7578ab574853819746421b4bc325,Nail Palace & Spa,,,Personal Care Services,Nail Salons,812113.0,39.664577,-77.70235699999999,1563 Potomac Ave,Hagerstown,MD,21742,US,13016659556.0,,,,,,2019-07
