,Unnamed: 0,placekey,safegraph_place_id,parent_placekey,parent_safegraph_place_id,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags,opened_on,closed_on,tracking_opened_since,tracking_closed_since
18255,18273,229-222@5r8-g32-rrk,sg:878e7c86e6f647ab921b8c629bd7fd78,,,Cricket Wireless,SG_BRAND_247184f5fcf8c0afea1291676dc6df8f,Cricket Wireless,Wired and Wireless Telecommunications Carriers,Wireless Telecommunications Carriers (except Satellite),517312.0,36.367996000000005,-96.019118,1355 W Rogers Blvd Ste 8,Skiatook,OK,74070,US,19185786822.0,,,,,,2019-07
20177,20198,223-222@5r8-dnf-t7q,sg:0424b3b1c22e4f5dbaeb4695e8bb048d,,,Carter Insurance Agency,,,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,524210.0,36.668091,-96.318513,1701 E Main St,Pawhuska,OK,74056,US,19182873126.0,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",,,,,2019-07
34738,34777,222-222@5r8-dks-qcq,sg:945da2feaebb4113bd785c708d945b5c,,,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,Subway,Restaurants and Other Eating Places,Limited-Service Restaurants,722513.0,36.665516,-96.355169,1120 W Main St,Pawhuska,OK,74056,US,19182872450.0,,"Counter Service,Sandwich Shop,Lunch,Breakfast,Dinner",,,,2019-07
43533,43579,223-222@5r8-dks-m6k,sg:c6750c1478b748d18174daabe261fb27,,,Bad Brad's Bar B Q,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,36.665989,-96.356793,1215 W Main St,Pawhuska,OK,74056,US,19182871212.0,"{ ""Mon"": [[""11:00"", ""20:00""]], ""Tue"": [[""11:00"", ""20:00""]], ""Wed"": [[""11:00"", ""20:00""]], ""Thu"": [[""11:00"", ""20:00""]], ""Fri"": [[""11:00"", ""21:00""]], ""Sat"": [[""11:00"", ""21:00""]], ""Sun"": [] }",BBQ and Southern Food,,,,2019-07
44705,44752,227-222@5r8-g2x-2p9,sg:127073c73b3144679e508a9d5fc7c3c6,,,Wolf Rudolph J DO,,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111.0,36.369783,-95.999871,201 E 2nd St,Skiatook,OK,74070,US,,,,,,,2019-07
64443,64510,226-222@5r8-g32-54v,sg:04f4302f9de14f36858b7fa3e5d8f34b,,,Sweet Things,,,Child Day Care Services,Child Day Care Services,624410.0,36.36171,-96.020291,1801 W Oak St,Skiatook,OK,74070,US,19186995488.0,,,,,,2019-07
69927,70002,22c-222@5r8-dy3-28v,sg:64e4f1f1ff124c37983b5d9d77839c6e,,,Ardmore Finance of Bartlesville,,,Nondepository Credit Intermediation,Consumer Lending,522291.0,36.750883,-95.968621,708 SE Frank Phillips Blvd,Bartlesville,OK,74003,US,19183373700.0,"{ ""Mon"": [[""9:00"", ""17:30""]], ""Tue"": [[""9:00"", ""17:30""]], ""Wed"": [[""9:00"", ""17:30""]], ""Thu"": [[""9:00"", ""17:30""]], ""Fri"": [[""9:00"", ""17:30""]], ""Sat"": [[""8:00"", ""12:00""]], ""Sun"": [] }",,,,,2019-07
86386,86481,zzw-222@5r8-g2x-4d9,sg:733b1ee8172248728d3ecdbd99d19b16,,,Hope Christian Academy,,,Elementary and Secondary Schools,Elementary and Secondary Schools,611110.0,36.364538,-95.999823,612 S Broadway St,Skiatook,OK,74070,US,,,,,,,2019-07
89953,90055,227-222@5r8-g32-st9,sg:5543eef712284a29b8f28523457d39e6,,,Fit For Her Skiatook,,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940.0,36.367687,-96.018306,1303 W Rogers Blvd Ste A,Skiatook,OK,74070,US,,,,,,,2019-07
100972,101087,222-222@5r8-dkt-wrk,sg:0d61bc54e1714d53a4774e48192190c6,,,Osage County Jail,,,"Justice, Public Order, and Safety Activities",Correctional Institutions,922140.0,36.644438,-96.317692,900 Saint Paul Ave,Pawhuska,OK,74056,US,19182874295.0,,,,,,2019-07
141259,141426,zzw-224@5r8-hsm-rtv,sg:fe79e51d1e994d83976e220ce91da5f2,,,Horace Mann Es,,,Elementary and Secondary Schools,Elementary and Secondary Schools,611110.0,36.413597,-96.390826,200 S Pettit Ave,Hominy,OK,74035,US,19188856255.0,,,,,,2019-07
143423,143591,222-222@5r8-g2z-75z,sg:850b94472aab4420a32405813d4ea370,,,Gordon's Body Shop,,,Automotive Repair and Maintenance,"Automotive Body, Paint, and Interior Repair and Maintenance",811121.0,36.36953,-95.97397,14810 N Peoria Ave,Skiatook,OK,74070,US,19183963312.0,,,,,,2019-07
145137,145310,zzw-223@5r8-dnf-8y9,sg:f4003410aaa04d879503720191415b61,,,The Church of Jesus Christ of Latter day Saints,,,Religious Organizations,Religious Organizations,813110.0,36.667209,-96.337392,2000 E 15th,Pawhuska,OK,74056,US,19182872107.0,,,,,,2019-07
153246,153426,224-222@5r8-dy2-q2k,sg:ed7f04d41e264b19b111f6a31c866cc9,,,Tropicold,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,36.750515,-95.963005,207 S Comanche Ave,Bartlesville,OK,74003,US,19183321141.0,,"Smoothie & Juice Bar,Mexican Food",,2020-02,,2019-07
